County, State,Violent Crime Rate [per 100k people],National Risk Index Score,Avg High Temp (F),Avg Low Temp (F),Avg Housing Price ($),Housing Vacancy (%),High School Diploma or Higher (%),Tax (%),Population Density (persons/mi^2),Cost of Living (% of national average),Avg Cost of Healthcare ($ per capita),Political Stance (ranking),Racial Minorities (%),Avg Age ,Quality of LGBT Healthcare (ranking),Weed Recreational,Weed Medicinal
Jefferson Co, AL,562.3,96.5,75,52.2,240000,9.02,91,6,607,87,9280,1,47.3,37.9,1,0,1
Baldwin Co, AL,441.0,97.71,75,52.2,375000,51.1,91,7,145.8,88.3,9280,5,12.6,43.4,1,0,1
Maricopa Co, AZ,527.7,97.33,75.3,46.8,460000,4.89,88.8,6.3,480.4,113,8756,4,18.3,36.9,2,1,1
Yavapai Co, AZ,310.4,88.8,75.3,46.8,525000,3.6,93.6,6.35,29.1,98,8756,5,7.2,54.2,2,1,1
Pulaski Co, AR,487.2,95.1,71.8,50.2,210000,4.3,91.5,9.25,526.3,80.7,9338,1,43.9,43.9,1,0,1
Saline Co, AR,384.7,76.2,71.8,50.2,237500,3.9,91.8,6.88,170.6,88.5,9338,5,13.7,39.6,1,0,1
Los Angeles Co, CA,554.6,100,71.5,46.5,860000,3.3,80,6.25,2466.9,149.1,10299,1,30,35.9,5,1,1
Amador Co, CA,16.8,77.79,71.5,46.5,428500,3.96,91.3,7.75,68.1,111.4,10299,5,11.2,49.7,5,1,1
El Paso Co, CO,582.6,93.5,60,32.4,450000,5.1,94.4,5.13,342.5,110.3,8583,5,17.4,34.6,5,1,1
Boulder Co, CO,337.7,89.5,60,32.4,732000,3.16,95.5,4.985,455.3,141.3,8583,1,10.5,39.7,5,1,1
Fairfield Co, CT,164.0,95.5,60,39.8,470000,8,90.2,6.35,1511,131.5,12489,1,8.4,40.8,5,1,1
Litchfield Co, CT,166.2,82.5,60,39.8,324000,15,93.8,6.35,201,105.9,12489,4,13.9,47.5,5,1,1
New Castle Co, DE,378.0,69.8,66.1,46.3,343500,5.5,92.4,0,1338.7,110,12899,1,37.4,38.8,4,1,1
Kent Co, DE,436.7,16.6,66.1,46.3,335000,7.6,88.8,0,310.3,99,12899,1,36.4,38.2,4,1,1
Miami-Dade Co, FL,1535.0,58.25,81.9,60.9,495200,5.97,82.5,7,1422.1,120,9856,1,30.6,40.4,1,0,1
Volusia Co, FL,189.8,97.52,81.9,60.9,345000,7.4,91.1,6.5,502.6,94.1,9856,5,17.1,46.4,1,0,1
Fulton Co, GA,320.0,92.3,75.6,52.7,411000,8,93.2,7.75,2025.3,113.3,8758,1,55.8,35.7,1,0,1
Forsynth Co, GA,184.5,81.16,75.6,52.7,373000,6.46,93.6,7,1118.7,121.9,8758,5,27.4,38.8,1,0,1
Ada Co, ID,155.6,87.9,55.7,32.1,494500,4.5,95,6,470.5,119.6,8148,5,8.5,37.7,2,0,0
Bonneville Co, ID,247.4,71.36,55.7,32.1,425000,4.94,92.5,6,66.4,85.3,8148,5,5.9,33.6,2,0,0
Cook Co, IL,585.2,99.6,62.7,42.6,315000,8.4,88,9,5583,105.7,10190,1,34.9,37.3,5,1,1
Madison Co, IL,437.7,92.49,62.7,42.6,174900,14.2,93,6.6,371.6,82.5,10190,4,13.5,40.2,5,1,1
Marion Co, IN,580.7,93.3,62.5,42.2,258500,6,86.9,7,2463.9,85.7,10517,1,38.1,34.4,2,0,0
St Joseph Co, IN,581.0,72.89,62.5,42.2,175000,12.06,91,7,596.2,79,10517,1,20.9,36.8,2,0,0
Polk Co, IA,256.9,91.5,58.5,38.1,265300,4.71,92.5,6,860.5,86.6,9789,1,16.2,35.9,3,0,1
Dallas Co, IA,151.1,72.99,58.5,38.1,346000,5.8,95.9,6,169.40,95.5,9789,5,11.2,35.3,3,0,1
Johnson Co, KS,775.6,94.27,67.5,42.6,405000,3.83,96.3,7.975,1287.6,106.2,9408,4,13.9,37.9,2,0,0
Butler Co, KS,314.5,80.2,67.5,42.6,191000,8,93.7,10.5,47.1,84,9408,5,8.3,38.5,2,0,0
Jefferson Co, KY,325.9,95.96,67.2,45.4,255000,6.56,91.3,6,2056.1,89.8,10257,1,29.7,38.4,2,0,1
Warren Co, KY,161.7,83,67.2,45.4,290000,8,87.8,6,248.4,85.4,10257,5,19,32.9,2,0,1
East Baton Rouge Parish, LA,588.9,98.9,77.5,56.7,222000,1.5,90.4,11.95,1002.8,93.2,10515,4,52.7,34.5,1,0,1
Ouachita Parish, LA,488.8,85.62,77.5,56.7,187500,10.5,88.2,12.95,262.7,84.3,10515,5,40.8,36.4,1,0,1
Cumberland Co, ME,295.1,85.1,51.9,31.7,519000,13,95.7,5.5,362.4,112.5,12077,1,8.8,41.9,5,1,1
Androscoggin Co, ME,65.4,67.26,51.9,31.7,345000,8,91.8,5.5,237.5,90.8,12077,3,9.4,40.7,5,1,1
Montgomery Co, MD,228.8,93.89,65.4,45.4,575000,4.93,91.2,6,2,153.80,138.5,10839,1,41.6,39.4,4,1,1
